iter	Passed	Remaining
0	118	23564
1	208	20688
2	296	19493
3	400	19600
4	518	20206
5	607	19655
6	680	18748
7	757	18171
8	845	17936
9	916	17406
10	992	17049
11	1068	16734
12	1155	16625
13	1256	16689
14	1344	16581
15	1432	16474
16	1518	16347
17	1623	16413
18	1702	16217
19	1779	16011
20	1851	15784
21	1932	15637
22	2011	15480
23	2091	15340
24	2208	15462
25	2316	15504
26	2435	15608
27	2544	15632
28	2671	15751
29	2799	15863
30	2879	15699
31	2997	15734
32	3104	15708
33	3228	15763
34	3347	15779
35	3465	15787
36	3565	15709
37	3675	15667
38	3789	15644
39	3906	15625
40	4023	15603
41	4143	15586
42	4269	15588
43	4363	15469
44	4441	15297
45	4526	15154
46	4636	15093
47	4763	15083
48	4862	14983
49	4959	14878
50	5069	14811
51	5173	14724
52	5277	14638
53	5373	14528
54	5455	14383
55	5534	14231
56	5640	14150
57	5757	14096
58	5852	13987
59	5909	13789
60	6022	13723
61	6124	13631
62	6220	13527
63	6323	13437
64	6377	13245
65	6458	13111
66	6512	12928
67	6607	12826
68	6744	12805
69	6813	12653
70	6888	12515
71	6941	12341
72	7012	12200
73	7073	12043
74	7132	11887
75	7207	11759
76	7312	11680
77	7443	11641
78	7536	11542
79	7670	11505
80	7771	11417
81	7842	11285
82	7910	11150
83	8027	11085
84	8123	10991
85	8193	10861
86	8322	10809
87	8445	10748
88	8541	10652
89	8654	10577
90	8724	10449
91	8780	10308
92	8849	10181
93	8949	10091
94	9052	10005
95	9190	9956
96	9251	9823
97	9326	9706
98	9448	9638
99	9555	9555
100	9679	9487
101	9803	9419
102	9927	9348
103	10024	9253
104	10082	9121
105	10179	9027
106	10306	8957
107	10429	8884
108	10555	8812
109	10655	8718
110	10773	8638
111	10893	8559
112	10985	8458
113	11043	8331
114	11122	8220
115	11198	8108
116	11323	8033
117	11415	7932
118	11543	7857
119	11664	7776
120	11776	7688
121	11895	7605
122	12008	7517
123	12104	7418
124	12218	7331
125	12349	7252
126	12481	7174
127	12611	7094
128	12696	6987
129	12778	6880
130	12916	6803
131	13045	6720
132	13175	6637
133	13302	6552
134	13429	6465
135	13560	6381
136	13688	6294
137	13820	6209
138	13909	6104
139	14000	6000
140	14078	5890
141	14158	5782
142	14239	5675
143	14310	5565
144	14391	5458
145	14470	5351
146	14549	5245
147	14620	5137
148	14691	5028
149	14786	4928
150	14880	4828
151	14942	4718
152	15026	4616
153	15089	4507
154	15169	4404
155	15228	4295
156	15310	4193
157	15392	4091
158	15468	3988
159	15549	3887
160	15631	3786
161	15716	3686
162	15776	3581
163	15852	3479
164	15934	3379
165	15993	3275
166	16069	3175
167	16150	3076
168	16209	2973
169	16270	2871
170	16330	2769
171	16400	2669
172	16492	2573
173	16573	2476
174	16649	2378
175	16725	2280
176	16807	2184
177	16886	2087
178	16966	1990
179	17047	1894
180	17126	1797
181	17189	1700
182	17260	1603
183	17350	1508
184	17434	1413
185	17494	1316
186	17575	1221
187	17636	1125
188	17717	1031
189	17819	937
190	17898	843
191	17960	748
192	18052	654
193	18148	561
194	18213	467
195	18294	373
196	18372	279
197	18431	186
198	18509	93
199	18588	0
