iter	Passed	Remaining
0	115	28802
1	214	26589
2	293	24139
3	392	24108
4	489	23971
5	571	23245
6	682	23701
7	808	24455
8	883	23660
9	956	22956
10	1003	21804
11	1055	20925
12	1120	20421
13	1178	19871
14	1247	19540
15	1332	19484
16	1416	19411
17	1507	19430
18	1594	19385
19	1694	19490
20	1789	19511
21	1891	19604
22	1970	19444
23	2062	19419
24	2167	19511
25	2253	19411
26	2329	19242
27	2386	18917
28	2449	18667
29	2509	18402
30	2554	18049
31	2621	17862
32	2676	17596
33	2743	17428
34	2830	17386
35	2884	17147
36	2969	17096
37	3040	16963
38	3093	16735
39	3161	16598
40	3262	16628
41	3356	16622
42	3436	16542
43	3520	16481
44	3591	16362
45	3650	16188
46	3709	16020
47	3770	15865
48	3856	15819
49	3964	15857
50	4068	15874
51	4136	15749
52	4189	15572
53	4261	15469
54	4348	15418
55	4418	15305
56	4488	15197
57	4545	15046
58	4628	14983
59	4699	14881
60	4797	14864
61	4874	14782
62	4968	14747
63	5039	14647
64	5105	14529
65	5127	14294
66	5170	14121
67	5269	14104
68	5341	14011
69	5399	13883
70	5493	13850
71	5574	13782
72	5657	13716
73	5746	13667
74	5833	13612
75	5941	13603
76	6001	13484
77	6058	13359
78	6123	13254
79	6166	13102
80	6228	12995
81	6292	12891
82	6380	12837
83	6462	12770
84	6541	12698
85	6626	12635
86	6679	12514
87	6730	12389
88	6798	12299
89	6851	12179
90	6894	12046
91	6941	11921
92	6980	11784
93	7028	11663
94	7067	11531
95	7123	11427
96	7152	11281
97	7180	11137
98	7218	11010
99	7278	10917
100	7331	10815
101	7377	10705
102	7417	10585
103	7486	10509
104	7542	10416
105	7625	10359
106	7736	10339
107	7781	10231
108	7815	10109
109	7854	9996
110	7893	9885
111	7931	9772
112	7992	9690
113	8072	9630
114	8144	9560
115	8181	9451
116	8250	9378
117	8318	9305
118	8371	9215
119	8420	9122
120	8497	9059
121	8584	9006
122	8647	8928
123	8721	8862
124	8799	8799
125	8882	8741
126	8963	8681
127	9033	8610
128	9092	8528
129	9149	8445
130	9202	8359
131	9240	8260
132	9278	8162
133	9318	8066
134	9355	7969
135	9407	7885
136	9450	7795
137	9490	7702
138	9527	7608
139	9562	7513
140	9606	7426
141	9662	7348
142	9690	7251
143	9724	7158
144	9765	7071
145	9803	6983
146	9861	6909
147	9922	6838
148	9950	6744
149	9990	6660
150	10054	6592
151	10087	6503
152	10139	6427
153	10216	6368
154	10328	6330
155	10396	6264
156	10475	6204
157	10543	6139
158	10597	6065
159	10639	5984
160	10695	5912
161	10734	5831
162	10779	5753
163	10822	5675
164	10862	5595
165	10906	5518
166	10944	5439
167	10982	5360
168	11011	5277
169	11044	5197
170	11069	5113
171	11107	5037
172	11131	4954
173	11159	4874
174	11213	4805
175	11251	4730
176	11289	4656
177	11326	4581
178	11379	4513
179	11404	4435
180	11437	4360
181	11498	4296
182	11544	4226
183	11630	4171
184	11663	4097
185	11706	4028
186	11749	3958
187	11786	3887
188	11819	3814
189	11842	3739
190	11870	3666
191	11892	3592
192	11939	3526
193	11981	3458
194	12034	3394
195	12058	3322
196	12086	3251
197	12124	3184
198	12148	3113
199	12191	3047
200	12220	2979
201	12263	2914
202	12326	2853
203	12353	2785
204	12416	2725
205	12467	2663
206	12494	2595
207	12547	2533
208	12579	2467
209	12621	2404
210	12646	2337
211	12702	2276
212	12725	2210
213	12763	2147
214	12801	2083
215	12823	2018
216	12874	1957
217	12917	1896
218	12941	1831
219	12964	1767
220	13017	1708
221	13046	1645
222	13079	1583
223	13106	1521
224	13145	1460
225	13187	1400
226	13224	1339
227	13249	1278
228	13291	1218
229	13327	1158
230	13359	1098
231	13392	1039
232	13416	978
233	13466	920
234	13569	866
235	13640	809
236	13725	752
237	13804	696
238	13850	637
239	13898	579
240	13933	520
241	13961	461
242	14012	403
243	14054	345
244	14107	287
245	14148	230
246	14207	172
247	14263	115
248	14312	57
249	14355	0
